Taldea,Txandakaria,Irteera,Lasterketak (R),Pilotak (B),Laukoak (4s),Seikoak (6s),Greba Tasa (S/R),Team_Total,Wickets,Overs,Opponent_Total,Margin_Runs,Match_Result,Match_Date,Venue,Match_Type
RCB,Venkatesh Iyer,c Shubman Gill b Kagiso Rabada,19,7,3,1,271.43,254,5,20.0,162,92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
RCB,Virat Kohli,b Jason Holder,43,25,5,1,172.0,254,5,20.0,162,92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
RCB,Devdutt Padikkal,c Jos Buttler b Jason Holder,30,19,5,0,157.89,254,5,20.0,162,92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
RCB,Rajat Patidar (C),not out,93,33,5,9,281.82,254,5,20.0,162,92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
RCB,Krunal Pandya,c Sai Sudharsan b Kagiso Rabada,43,28,5,2,153.57,254,5,20.0,162,92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
RCB,Tim David,b Prasidh Krishna,4,5,0,0,80.0,254,5,20.0,162,92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
RCB,Jitesh Sharma (Wk),not out,15,5,1,1,300.0,254,5,20.0,162,92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
GT,Sai Sudharsan,hit wicket b Jacob Duffy,14,9,3,0,155.56,162,10,19.3,254,-92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
GT,Shubman Gill (C),b Bhuvneshwar Kumar,2,7,0,0,28.57,162,10,19.3,254,-92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
GT,Jos Buttler (Wk),b Josh Hazlewood,29,11,4,2,263.64,162,10,19.3,254,-92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
GT,Nishant Sindhu,c & b Rasikh Salam,5,3,1,0,166.67,162,10,19.3,254,-92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
GT,Washington Sundar,c Josh Hazlewood b Jacob Duffy,8,8,1,0,100.0,162,10,19.3,254,-92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
GT,Jason Holder,c Josh Hazlewood b Rasikh Salam,0,3,0,0,0.0,162,10,19.3,254,-92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
GT,Rahul Tewatia (IP),not out,22,20,2,1,110.0,162,10,19.3,254,-92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
GT,Rashid Khan,c Jitesh Sharma b Jacob Duffy,8,9,0,1,88.89,162,10,19.3,254,-92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
GT,Kagiso Rabada,c Virat Kohli b Krunal Pandya,9,5,2,0,180.0,162,10,19.3,254,-92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
GT,Mohammed Siraj,not out,4,5,1,0,80.0,162,10,19.3,254,-92,RCB won by 92 runs,2026-05-26,"HPCA Stadium, Dharamshala",Semi Final 1
