Player,Team,Matches,Runs,Highest_Score,Average,Strike_Rate,Hundreds,Fifties
Sai Sudharsan,GT,14,638,100,49.08,157.92,1,7
Shubman Gill,GT,13,616,86,47.38,161.67,0,6
Heinrich Klaasen,SRH,14,606,69,50.5,159.47,0,6
KL Rahul,DC,14,593,152*,45.62,174.41,1,5
Vaibhav Sooryavanshi,RR,14,583,103,41.64,232.27,1,3
Ishan Kishan,SRH,14,569,91,40.64,178.36,0,6
Abhishek Sharma,SRH,14,563,135*,43.31,206.22,1,4
Mitchell Marsh,LSG,13,563,111,43.31,163.18,1,3
Virat Kohli,RCB,14,557,105*,50.64,163.82,1,4
Prabhsimran Singh,PBKS,14,510,80*,42.5,168.87,0,6
