Player_Name,Team,Role,Batting_Runs,Batting_Strike_Rate,Wickets_Taken,Bowling_Economy,Player_Impact_Score
Virat Kohli,RCB,Batsman,557,163.82,0,0.0,56.749
Faf du Plessis,RCB,Batsman,420,145.5,0,0.0,44.275000000000006
Bhuvneshwar Kumar,RCB,Bowler,35,112.9,24,8.07,78.49440533740423
Glenn Maxwell,RCB,All-Rounder,210,185.4,8,8.45,54.9474936914937
Rajat Patidar,RCB,Batsman,385,152.1,0,0.0,43.791000000000004
Sai Sudharsan,GT,Batsman,638,157.92,0,0.0,58.8808
Shubman Gill,GT,Batsman,616,161.67,0,0.0,58.17130000000001
Kagiso Rabada,GT,Bowler,12,140.0,24,9.19,75.15929065490135
Mohammed Siraj,GT,Bowler,8,88.5,17,8.59,60.20695445243006
Rashid Khan,GT,Bowler,95,165.3,19,8.72,65.53287944807553
Heinrich Klaasen,SRH,Wicketkeeper-Batsman,606,159.47,0,0.0,59.4957
Ishan Kishan,SRH,Wicketkeeper-Batsman,569,178.36,0,0.0,57.11640000000001
Abhishek Sharma,SRH,All-Rounder,563,206.22,11,9.12,73.03378060200669
Pat Cummins,SRH,Bowler,115,155.0,14,8.8,54.36365777080063
Eshan Malinga,SRH,Bowler,0,0.0,19,9.28,63.37617005320913
Vaibhav Sooryavanshi,RR,Batsman,583,232.27,0,0.0,65.3125
Sanju Samson,RR,Wicketkeeper-Batsman,442,151.2,0,0.0,46.09000000000001
Jofra Archer,RR,Bowler,15,120.0,21,8.77,69.42263697585192
Yuzvendra Chahal,RR,Bowler,4,66.67,14,8.21,55.44223252317715
Riyan Parag,RR,All-Rounder,395,158.4,5,8.9,54.6017264957265
