Player,Team,Runs,Balls_Faced,Fours,Sixes,Strike_Rate
Rajat Patidar (RCB),RCB,93,33,5,9,281.82
Virat Kohli (RCB),RCB,43,25,5,1,172.0
Krunal Pandya (RCB),RCB,43,28,5,2,153.57
Devdutt Padikkal (RCB),RCB,30,19,5,0,157.89
Venkatesh Iyer (RCB),RCB,19,7,3,1,271.43
Jitesh Sharma (RCB),RCB,15,5,1,1,300.0
Tim David (RCB),RCB,4,5,0,0,80.0
Rahul Tewatia (GT),GT,68,43,8,4,158.14
Jos Buttler (GT),GT,29,11,4,2,263.64
Sai Sudharsan (GT),GT,14,9,3,0,155.56
Kagiso Rabada (GT),GT,9,5,2,0,180.0
Washington Sundar (GT),GT,8,8,1,0,100.0
Rashid Khan (GT),GT,8,9,0,1,88.89
Prasidh Krishna (GT),GT,6,7,1,0,85.71
Nishant Sindhu (GT),GT,5,3,1,0,166.67
Mohammed Siraj (GT),GT,5,13,1,0,38.46
Shubman Gill (GT),GT,2,7,0,0,28.57
Jason Holder (GT),GT,0,3,0,0,0.0
