Player,Team,Overs,Maidens,Runs_Conceded,Wickets,Economy
Jacob Duffy (RCB),RCB,4.0,0,39,3,9.75
Krunal Pandya (RCB),RCB,3.3,0,16,2,4.57
Bhuvneshwar Kumar (RCB),RCB,4.0,0,28,2,7.0
Rasikh Salam (RCB),RCB,3.0,1,24,2,8.0
Josh Hazlewood (RCB),RCB,4.0,0,39,1,9.75
Romario Shepherd (RCB),RCB,1.0,0,15,0,15.0
Jason Holder (GT),GT,4.0,0,39,2,9.75
Kagiso Rabada (GT),GT,4.0,0,54,2,13.5
Prasidh Krishna (GT),GT,4.0,0,53,1,13.25
Kulwant Khejroliya (GT),GT,2.0,0,31,0,15.5
Rashid Khan (GT),GT,3.0,0,29,0,9.67
Mohammed Siraj (GT),GT,3.0,0,46,0,15.33
