team1,team2,venue,date,match_type,toss_winner,toss_decision,scenario_weight,team1_stacked_probability,team1_xgb_probability
RCB,GT,"HPCA Stadium, Dharamshala",2026-05-26,Qualifier 1,RCB,field,0.36,0.47016939966995613,0.2159339040517807
RCB,GT,"HPCA Stadium, Dharamshala",2026-05-26,Qualifier 1,RCB,bat,0.14,0.47391666288383283,0.24089983105659485
RCB,GT,"HPCA Stadium, Dharamshala",2026-05-26,Qualifier 1,GT,field,0.36,0.47391666288383283,0.24089983105659485
RCB,GT,"HPCA Stadium, Dharamshala",2026-05-26,Qualifier 1,GT,bat,0.14,0.47016939966995613,0.2159339040517807
SRH,RR,"Maharaja Yadavindra Singh Stadium, New Chandigarh",2026-05-27,Eliminator,SRH,field,0.275,0.48036130708691727,0.7172945141792297
SRH,RR,"Maharaja Yadavindra Singh Stadium, New Chandigarh",2026-05-27,Eliminator,SRH,bat,0.225,0.47912232703638086,0.6733829379081726
SRH,RR,"Maharaja Yadavindra Singh Stadium, New Chandigarh",2026-05-27,Eliminator,RR,field,0.275,0.47912232703638086,0.6733829379081726
SRH,RR,"Maharaja Yadavindra Singh Stadium, New Chandigarh",2026-05-27,Eliminator,RR,bat,0.225,0.48036130708691727,0.7172945141792297
RCB,SRH,"Maharaja Yadavindra Singh Stadium, New Chandigarh",2026-05-29,Qualifier 2,RCB,field,0.275,0.4820940008571619,0.9136796593666077
RCB,SRH,"Maharaja Yadavindra Singh Stadium, New Chandigarh",2026-05-29,Qualifier 2,RCB,bat,0.225,0.4817031053827697,0.9117818474769592
RCB,SRH,"Maharaja Yadavindra Singh Stadium, New Chandigarh",2026-05-29,Qualifier 2,SRH,field,0.275,0.4817031053827697,0.9117818474769592
RCB,SRH,"Maharaja Yadavindra Singh Stadium, New Chandigarh",2026-05-29,Qualifier 2,SRH,bat,0.225,0.4820940008571619,0.9136796593666077
GT,SRH,"Narendra Modi Stadium, Ahmedabad",2026-05-31,Final,GT,field,0.35,0.47973403424401007,0.8305056691169739
