ස්ථානය,කණ්ඩායම,තරඟ (M),ජයග්‍රහණ (W),පරාජයන් (L),ප්‍රසාද ලකුණු (PTS),Net Run Rate (NRR),තත්ත්වය
1,RCB (Royal Challengers Bengaluru),14,9,5,18,+0.783,Qualified (Qualifier 1)
2,GT (Gujarat Titans),14,9,5,18,+0.695,Qualified (Qualifier 1)
3,SRH (Sunrisers Hyderabad),14,9,5,18,+0.524,Qualified (Eliminator)
4,RR (Rajasthan Royals),14,8,6,16,+0.189,Qualified (Eliminator)
5,PBKS (Punjab Kings),14,7,6,15,+0.309,Eliminated
6,DC (Delhi Capitals),14,7,7,14,-0.651,Eliminated
7,KKR (Kolkata Knight Riders),14,6,7,13,-0.147,Eliminated
8,CSK (Chennai Super Kings),14,6,8,12,-0.345,Eliminated
9,MI (Mumbai Indians),14,4,10,8,-0.584,Eliminated
10,LSG (Lucknow Super Giants),14,4,10,8,-0.74,Eliminated
